transaction_id,transaction_date,transaction_time,transaction_qty,store_id,store_location,product_id,unit_price,sales,product_category,product_type
1,2023-01-01,07:06:11,2,5,Lower Manhattan,32,47657.94,95315.88,Coffee,Gourmet brewed coffee
2,2023-01-01,07:08:56,2,5,Lower Manhattan,57,47657.94,95315.88,Tea,Brewed Chai tea
3,2023-01-01,07:14:04,2,5,Lower Manhattan,59,71486.91,142973.82,Drinking Chocolate,Hot chocolate
4,2023-01-01,07:20:24,1,5,Lower Manhattan,22,31771.96,31771.96,Coffee,Brewed Chai tea
5,2023-01-01,07:22:41,2,5,Lower Manhattan,57,49246.538,98493.076,Tea,Brewed Chai tea
6,2023-01-01,07:22:41,1,5,Lower Manhattan,77,47657.94,47657.94,Bakery,Scone
7,2023-01-01,07:25:49,1,5,Astoria,22,31771.96,31771.96,Coffee,Drip coffee
8,2023-01-01,07:33:34,2,5,Lower Manhattan,28,31771.96,63543.92,Coffee,Gourmet brewed coffee
9,2023-01-01,07:39:13,1,5,Lower Manhattan,39,67515.415,67515.415,Coffee,Barista Espresso
10,2023-01-01,07:39:34,2,5,Astoria,58,47657.94,95315.88,Drinking Chocolate,Hot chocolate
11,2023-01-01,07:43:05,1,5,Lower Manhattan,56,40509.248999999996,40509.248999999996,Tea,Brewed Chai tea
12,2023-01-01,07:44:35,2,5,Lower Manhattan,33,55600.93,111201.86,Coffee,Gourmet brewed coffee
13,2023-01-01,07:45:51,1,5,Lower Manhattan,51,47657.94,47657.94,Tea,Brewed Chai tea
14,2023-01-01,07:48:19,1,5,Lower Manhattan,57,49246.538,49246.538,Tea,Brewed Chai tea
15,2023-01-01,07:52:36,2,5,Lower Manhattan,87,47657.94,95315.88,Coffee,Barista Espresso
16,2023-01-01,07:59:58,2,5,Lower Manhattan,47,47657.94,95315.88,Tea,Brewed Chai tea
17,2023-01-01,07:59:58,1,5,Lower Manhattan,79,59572.424999999996,59572.424999999996,Bakery,Scone
18,2023-01-01,08:00:18,1,8,Hell's Kitchen,42,39714.95,39714.95,Tea,Brewed herbal tea
19,2023-01-01,08:00:39,2,8,Astoria,59,71486.91,142973.82,Drinking Chocolate,Brewed Chai tea
20,2023-01-01,08:11:45,1,8,Astoria,61,75458.405,75458.405,Drinking Chocolate,Brewed Chai tea
21,2023-01-01,08:17:27,2,8,Astoria,33,55600.93,111201.86,Coffee,Gourmet brewed coffee
22,2023-01-01,08:24:26,2,5,Lower Manhattan,56,40509.248999999996,81018.49799999999,Tea,Brewed Chai tea
23,2023-01-01,08:24:26,1,5,Lower Manhattan,69,47657.94,47657.94,Bakery,Biscotti
24,2023-01-01,08:29:38,1,8,Astoria,56,47657.94,47657.94,Tea,Brewed Chai tea
25,2023-01-01,08:31:23,1,8,Astoria,40,59572.424999999996,59572.424999999996,Coffee,Barista Espresso
26,2023-01-01,08:33:08,1,5,Lower Manhattan,43,47657.94,47657.94,Tea,Brewed Chai tea
27,2023-01-01,08:33:08,1,5,Lower Manhattan,76,47657.94,47657.94,Bakery,Biscotti
28,2023-01-01,08:35:03,2,5,Astoria,45,47657.94,95315.88,Tea,Brewed herbal tea
29,2023-01-01,08:35:03,1,5,Lower Manhattan,71,59572.424999999996,59572.424999999996,Bakery,Brewed Chai tea
30,2023-01-01,08:41:57,2,8,Hell's Kitchen,40,47657.94,95315.88,Coffee,Barista Espresso
31,2023-01-01,08:52:03,1,8,Hell's Kitchen,38,59572.424999999996,59572.424999999996,Coffee,Barista Espresso
32,2023-01-01,08:52:32,1,5,Lower Manhattan,26,47657.94,47657.94,Coffee,Brewed Chai tea
33,2023-01-01,08:54:33,2,5,Astoria,27,47657.94,95315.88,Coffee,Brewed Chai tea
34,2023-01-01,08:56:27,2,5,Astoria,29,47657.94,95315.88,Coffee,Gourmet brewed coffee
35,2023-01-01,08:57:46,1,8,Hell's Kitchen,54,47657.94,47657.94,Tea,Brewed Chai tea
36,2023-01-01,08:58:55,1,5,Lower Manhattan,26,47657.94,47657.94,Coffee,Brewed Chai tea
37,2023-01-01,09:00:12,1,5,Lower Manhattan,55,63543.92,63543.92,Tea,Brewed Chai tea
38,2023-01-01,09:00:24,2,8,Astoria,40,59572.424999999996,119144.84999999999,Coffee,Brewed Chai tea
39,2023-01-01,09:07:13,1,8,Hell's Kitchen,45,47657.94,47657.94,Tea,Brewed herbal tea
40,2023-01-01,09:08:09,2,8,Astoria,45,47657.94,95315.88,Tea,Brewed herbal tea
41,2023-01-01,09:08:13,1,8,Hell's Kitchen,24,47657.94,47657.94,Coffee,Drip coffee
42,2023-01-01,09:10:30,2,5,Lower Manhattan,60,47657.94,95315.88,Drinking Chocolate,Brewed Chai tea
43,2023-01-01,09:10:30,1,5,Lower Manhattan,78,47657.94,47657.94,Bakery,Brewed Chai tea
44,2023-01-01,09:11:06,1,5,Astoria,56,40509.248999999996,40509.248999999996,Tea,Brewed Chai tea
45,2023-01-01,09:11:06,1,5,Lower Manhattan,77,47657.94,47657.94,Bakery,Scone
46,2023-01-01,09:13:01,1,5,Lower Manhattan,44,39714.95,39714.95,Tea,Brewed herbal tea
47,2023-01-01,09:13:15,2,5,Astoria,56,47657.94,95315.88,Tea,Brewed Chai tea
48,2023-01-01,09:14:16,1,5,Lower Manhattan,48,39714.95,39714.95,Tea,Brewed Black tea
49,2023-01-01,09:14:17,1,8,Astoria,23,39714.95,39714.95,Coffee,Drip coffee
50,2023-01-01,09:14:25,1,8,Hell's Kitchen,46,39714.95,39714.95,Tea,Brewed Chai tea
51,2023-01-01,09:14:41,1,8,Hell's Kitchen,32,47657.94,47657.94,Coffee,Gourmet brewed coffee
52,2023-01-01,09:15:09,2,5,Lower Manhattan,47,47657.94,95315.88,Tea,Brewed Green tea
53,2023-01-01,09:15:13,2,5,Astoria,43,47657.94,95315.88,Tea,Brewed herbal tea
54,2023-01-01,09:19:21,2,5,Astoria,25,34949.156,69898.312,Coffee,Organic brewed coffee
55,2023-01-01,09:19:26,1,8,Hell's Kitchen,59,71486.91,71486.91,Drinking Chocolate,Hot chocolate
56,2023-01-01,09:21:08,1,5,Lower Manhattan,38,59572.424999999996,59572.424999999996,Coffee,Barista Espresso
57,2023-01-01,09:22:17,1,8,Astoria,45,47657.94,47657.94,Tea,Brewed herbal tea
58,2023-01-01,09:22:46,1,5,Astoria,34,38920.651000000005,38920.651000000005,Coffee,Premium brewed coffee
59,2023-01-01,09:29:56,2,8,Hell's Kitchen,36,59572.424999999996,119144.84999999999,Coffee,Premium brewed coffee
60,2023-01-01,09:29:56,1,8,Hell's Kitchen,74,55600.93,55600.93,Bakery,Brewed Chai tea
61,2023-01-01,09:29:57,1,8,Hell's Kitchen,53,47657.94,47657.94,Tea,Brewed Chai tea
62,2023-01-01,09:34:17,2,8,Hell's Kitchen,41,67515.415,135030.83,Coffee,Brewed Chai tea
63,2023-01-01,09:40:13,1,5,Astoria,41,47657.94,47657.94,Coffee,Brewed Chai tea
64,2023-01-01,09:41:22,2,5,Lower Manhattan,45,47657.94,95315.88,Tea,Brewed herbal tea
65,2023-01-01,09:41:22,1,5,Lower Manhattan,79,59572.424999999996,59572.424999999996,Bakery,Scone
66,2023-01-01,09:44:20,2,5,Astoria,54,47657.94,95315.88,Tea,Brewed Chai tea
67,2023-01-01,09:44:46,1,5,Lower Manhattan,24,47657.94,47657.94,Coffee,Drip coffee
68,2023-01-01,09:46:46,2,5,Lower Manhattan,37,47657.94,95315.88,Coffee,Barista Espresso
69,2023-01-01,09:47:40,2,8,Hell's Kitchen,40,59572.424999999996,119144.84999999999,Coffee,Barista Espresso
70,2023-01-01,09:50:44,2,5,Lower Manhattan,37,47657.94,95315.88,Coffee,Barista Espresso
71,2023-01-01,09:50:44,1,5,Lower Manhattan,69,51629.435,51629.435,Bakery,Biscotti
72,2023-01-01,09:52:58,1,5,Lower Manhattan,50,47657.94,47657.94,Tea,Brewed Black tea
73,2023-01-01,09:53:28,1,8,Hell's Kitchen,47,47657.94,47657.94,Tea,Brewed Chai tea
74,2023-01-01,09:53:44,2,8,Astoria,40,59572.424999999996,119144.84999999999,Coffee,Brewed Chai tea
75,2023-01-01,09:53:44,1,8,Hell's Kitchen,72,51629.435,51629.435,Bakery,Scone
76,2023-01-01,09:53:49,1,8,Astoria,35,47657.94,47657.94,Coffee,Premium brewed coffee
77,2023-01-01,09:54:46,1,5,Lower Manhattan,23,39714.95,39714.95,Coffee,Drip coffee
78,2023-01-01,09:55:16,2,5,Astoria,43,47657.94,95315.88,Tea,Brewed herbal tea
79,2023-01-01,09:56:30,1,8,Hell's Kitchen,22,31771.96,31771.96,Coffee,Drip coffee
80,2023-01-01,10:00:39,2,8,Hell's Kitchen,32,47657.94,95315.88,Coffee,Gourmet brewed coffee
81,2023-01-01,10:03:55,2,8,Astoria,36,47657.94,95315.88,Coffee,Premium brewed coffee
82,2023-01-01,10:14:49,1,5,Lower Manhattan,26,47657.94,47657.94,Coffee,Organic brewed coffee
83,2023-01-01,10:14:49,1,5,Lower Manhattan,71,59572.424999999996,59572.424999999996,Bakery,Brewed Chai tea
84,2023-01-01,10:16:30,2,5,Lower Manhattan,32,47657.94,95315.88,Coffee,Gourmet brewed coffee
85,2023-01-01,10:16:33,1,8,Astoria,54,39714.95,39714.95,Tea,Brewed Chai tea
86,2023-01-01,10:18:14,2,8,Hell's Kitchen,41,67515.415,135030.83,Coffee,Barista Espresso
87,2023-01-01,10:18:52,2,5,Astoria,25,34949.156,69898.312,Coffee,Brewed Chai tea
88,2023-01-01,10:19:42,2,5,Lower Manhattan,23,47657.94,95315.88,Coffee,Brewed Chai tea
89,2023-01-01,10:24:19,1,8,Hell's Kitchen,54,47657.94,47657.94,Tea,Brewed Chai tea
90,2023-01-01,10:25:22,2,8,Hell's Kitchen,56,47657.94,95315.88,Tea,Brewed Chai tea
91,2023-01-01,10:25:45,2,5,Lower Manhattan,58,47657.94,95315.88,Drinking Chocolate,Hot chocolate
92,2023-01-01,10:25:45,1,5,Astoria,74,47657.94,47657.94,Bakery,Biscotti
93,2023-01-01,10:27:48,2,8,Astoria,47,47657.94,95315.88,Tea,Brewed Chai tea
94,2023-01-01,10:30:07,1,5,Lower Manhattan,35,47657.94,47657.94,Coffee,Premium brewed coffee
95,2023-01-01,10:30:07,1,5,Lower Manhattan,70,51629.435,51629.435,Bakery,Scone
96,2023-01-01,10:35:47,1,8,Hell's Kitchen,60,47657.94,47657.94,Drinking Chocolate,Hot chocolate
97,2023-01-01,10:41:53,1,5,Lower Manhattan,59,71486.91,71486.91,Drinking Chocolate,Hot chocolate
